
Sync-Point 0, Time: 0.015625, Redshift: 63, Nf = 0016777216, Systemstep: 0, Dloga: 0
Sync-Point 191, Time: 0.136129, Redshift: 6.34597, Nf = 0000001466, Systemstep: 0.000551755, Dloga: 0.00406141

Sync-Point 192, Time: 0.136683, Redshift: 6.3162, Nf = 0000137408, Systemstep: 0.000554, Dloga: 0.00406141

Sync-Point 193, Time: 0.137239, Redshift: 6.28654, Nf = 0000001613, Systemstep: 0.000556255, Dloga: 0.00406141

Sync-Point 194, Time: 0.137798, Redshift: 6.25701, Nf = 0016777216, Systemstep: 0.000558518, Dloga: 0.00406141

Sync-Point 195, Time: 0.138359, Redshift: 6.22759, Nf = 0000001760, Systemstep: 0.000560791, Dloga: 0.00406141

Sync-Point 196, Time: 0.138922, Redshift: 6.1983, Nf = 0000155662, Systemstep: 0.000563074, Dloga: 0.00406141

Sync-Point 197, Time: 0.139487, Redshift: 6.16912, Nf = 0000001924, Systemstep: 0.000565365, Dloga: 0.00406141

Sync-Point 198, Time: 0.140055, Redshift: 6.14007, Nf = 0008997298, Systemstep: 0.000567666, Dloga: 0.00406141

Sync-Point 199, Time: 0.140625, Redshift: 6.11113, Nf = 0000002068, Systemstep: 0.000569976, Dloga: 0.00406141

Sync-Point 200, Time: 0.141197, Redshift: 6.0823, Nf = 0000174451, Systemstep: 0.000572296, Dloga: 0.00406141

Sync-Point 201, Time: 0.141772, Redshift: 6.0536, Nf = 0000002286, Systemstep: 0.000574625, Dloga: 0.00406141

Sync-Point 202, Time: 0.142349, Redshift: 6.02501, Nf = 0016777216, Systemstep: 0.000576963, Dloga: 0.00406141

Sync-Point 203, Time: 0.142928, Redshift: 5.99654, Nf = 0000002498, Systemstep: 0.000579311, Dloga: 0.00406141

Sync-Point 204, Time: 0.14351, Redshift: 5.96818, Nf = 0000196206, Systemstep: 0.000581669, Dloga: 0.00406141

Sync-Point 205, Time: 0.144094, Redshift: 5.93993, Nf = 0000002782, Systemstep: 0.000584036, Dloga: 0.00406141

Sync-Point 206, Time: 0.144387, Redshift: 5.92586, Nf = 0000000002, Systemstep: 0.000292909, Dloga: 0.0020307

Sync-Point 207, Time: 0.14468, Redshift: 5.9118, Nf = 0009487704, Systemstep: 0.000293504, Dloga: 0.0020307

Sync-Point 208, Time: 0.144974, Redshift: 5.89778, Nf = 0000000001, Systemstep: 0.000294101, Dloga: 0.0020307

Sync-Point 209, Time: 0.145269, Redshift: 5.88379, Nf = 0000003115, Systemstep: 0.000294699, Dloga: 0.0020307

